DT_GERACAO,HH_GERACAO,CD_TP_ESFERA_PARTIDARIA,DS_TP_ESPERA_PARTIDARIA,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_CNPJ_PRESTADOR_CONTA,SG_PARTIDO,NM_PARTIDO,CD_TP_DOCUMENTO,DS_TP_DOCUMENTO,NR_DOCUMENTO,AA_AIDF,NR_AIDF,CD_TP_FORNECEDOR,DS_TP_FORNECEDOR,NR_CPF_CNPJ_FORNECEDOR,NM_FORNECEDOR,DS_GASTO_NIVEL1,DS_GASTO_NIVEL2,DS_GASTO_NIVEL3,DS_GASTO_NIVEL4,DT_PAGAMENTO,VR_GASTO,VR_PAGAMENTO,VR_DOCUMENTO,DS_GASTO_CONCAT,mes
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,#NULO#,#NULO#,#NULO#,J,PESSOA JURÍDICA,90400888212409,BANCO SANTANDER S/A,DESPESAS FINANCEIRAS ,COMISSÕES E TARIFAS BANCÁRIAS,NA,NA,2018-10-25,11.9,11.9,11.9,DESPESAS FINANCEIRAS - COMISSÕES E TARIFAS BANCÁRIAS,10
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,#NULO#,#NULO#,#NULO#,J,PESSOA JURÍDICA,90400888212409,BANCO SANTANDER S/A,DESPESAS FINANCEIRAS ,COMISSÕES E TARIFAS BANCÁRIAS,NA,NA,2018-11-27,2.5,2.5,2.5,DESPESAS FINANCEIRAS - COMISSÕES E TARIFAS BANCÁRIAS,11
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,#NULO#,#NULO#,#NULO#,J,PESSOA JURÍDICA,90400888212409,BANCO SANTANDER S/A,DESPESAS FINANCEIRAS ,COMISSÕES E TARIFAS BANCÁRIAS,NA,NA,2018-11-28,49.5,49.5,49.5,DESPESAS FINANCEIRAS - COMISSÕES E TARIFAS BANCÁRIAS,11
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,#NULO#,#NULO#,#NULO#,J,PESSOA JURÍDICA,90400888212409,BANCO SANTANDER S/A,DESPESAS FINANCEIRAS ,COMISSÕES E TARIFAS BANCÁRIAS,NA,NA,2018-12-20,2.5,2.5,2.5,DESPESAS FINANCEIRAS - COMISSÕES E TARIFAS BANCÁRIAS,12
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,#NULO#,#NULO#,#NULO#,J,PESSOA JURÍDICA,90400888212409,BANCO SANTANDER S/A,DESPESAS FINANCEIRAS ,COMISSÕES E TARIFAS BANCÁRIAS,NA,NA,2018-12-27,11.9,11.9,11.9,DESPESAS FINANCEIRAS - COMISSÕES E TARIFAS BANCÁRIAS,12
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,154,#NULO#,#NULO#,F,PESSOA FÍSICA,05353127412,FÁBIO LÍVIO DA SILVA MARINHO,SERVIÇOS TÉCNICO-PROFISSIONAIS ,SERVIÇOS DE CONSULTORIA JURÍDICA ,ORDINÁRIAS,NA,2018-02-28,1468.5,1468.5,1468.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS,2
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,157,#NULO#,#NULO#,F,PESSOA FÍSICA,05353127412,FÁBIO LÍVIO DA SILVA MARINHO,SERVIÇOS TÉCNICO-PROFISSIONAIS ,SERVIÇOS DE CONSULTORIA JURÍDICA ,ORDINÁRIAS,NA,2018-05-31,1468.5,1468.5,1468.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS,5
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,158,#NULO#,#NULO#,F,PESSOA FÍSICA,05353127412,FÁBIO LÍVIO DA SILVA MARINHO,SERVIÇOS TÉCNICO-PROFISSIONAIS ,SERVIÇOS DE CONSULTORIA JURÍDICA ,ORDINÁRIAS,NA,2018-06-30,1468.5,1468.5,1468.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS,6
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,159,#NULO#,#NULO#,F,PESSOA FÍSICA,05353127412,FÁBIO LÍVIO DA SILVA MARINHO,SERVIÇOS TÉCNICO-PROFISSIONAIS ,SERVIÇOS DE CONSULTORIA JURÍDICA ,ORDINÁRIAS,NA,2018-07-31,1468.5,1468.5,1468.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS,7
19/10/2019,16:37:25,2,ESTADUAL,PB,#NULO#,#NULO#,#NULO#,08319972000155,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,5,OUTROS,160,#NULO#,#NULO#,F,PESSOA FÍSICA,05353127412,FÁBIO LÍVIO DA SILVA MARINHO,SERVIÇOS TÉCNICO-PROFISSIONAIS ,SERVIÇOS DE CONSULTORIA JURÍDICA ,ORDINÁRIAS,NA,2018-08-31,1468.5,1468.5,1468.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS,8
